(1, 0.8392993266737124, 6.670818209090094)
(2, 0.049979002091829525, 0.224450764692716)
(4, 0.006508356371322629, 5.15671379019361)
(4, 0.023577366842412194, 3.1955852362829025)
(8, 0.0008797227878056887, 102.19873790827272)
(8, 0.0014569164721125885, 120.72594130104356)
(16, 8.558389112136791e-05, 5.849804523379304)
(16, 0.005690333598046299, 13.470126238432995)
(16, 3.3835491838680335e-05, 3869.978617668152)
(16, 3.980646098668275e-05, 228.9730426311493)
(16, 0.0003901033176694909, 12.7212342680717)
(16, 7.762259892403135e-05, 13966.232180644305)
(32, 0.0006926324211682798, 102.57075294680979)
(32, 0.0002348581198214282, 0.740345397238004)
(64, 0.00021893553542675511, 0.20537715391679243)
(64, 5.771936843068999e-05, 73.37070080329632)
(64, 0.0007145259747109553, 52.465917109114876)
(128, 8.757421417070205e-05, 0.8119266900149259)
(128, 0.0007583130817963064, 5.161066228010523)
(128, 0.0685885226031037, 3.0955465282235286)
(128, 3.582581488801447e-05, 0.2790125211079915)
(256, 7.96129219733655e-05, 5227.133928918838)
(256, 0.00013534196735472134, 3582.756444790784)
(512, 0.00021097424322941857, 51.97127277446243)
(1024, 3.7816137937348614e-05, 3.3203725814819336)
(2048, 0.00012937099820671893, 570.2348033171434)
